Year,Year_1,Number_pub,,,,
2015,2001,1,,,,
2023,2002,0,,,,
2012,2003,2,,,,
2020,2004,1,,,,
2007,2005,2,,,,
2022,2006,1,,,,
2020,2007,4,,,,
2019,2008,1,,,,
2016,2009,0,,,,
2018,2010,4,,,,
2016,2011,3,,,,
2013,2012,11,,,,
2021,2013,7,,,,
2015,2014,8,,,,
2019,2015,14,,,,
2020,2016,9,,,,
2015,2017,6,,,,
2018,2018,13,,,,
2023,2019,7,,,,
2020,2020,12,,,,
2024,2021,13,,,,
2022,2022,10,,,,
2023,2023,12,,,,
2020,2024,4,,,,
2011,,,,,,
2020,,,,,,
2015,,,,,,
2022,,,,,,
2014,,,,,,
2014,,,,,,
2022,,,,,,
2024,,,,,,
2012,,,,,,
2022,,,,,,
2020,,,,,,
2014,,,,,,
2013,,,,,,
2013,,,,,,
2015,,,,,,
2016,,,,,,
2013,,,,,,
2016,,,,,,
2022,,,,,,
2011,,,,,,
2018,,,,,,
2014,,,,,,
2003,,,,,,
2014,,,,,,
2017,,,,,,
2014,,,,,,
2012,,,,,,
2007,,,,,,
2012,,,,,,
2017,,,,,,
2012,,,,,,
2023,,,,,,
2019,,,,,,
2018,,,,,,
2021,,,,,,
2021,,,,,,
2018,,,,,,
2013,,,,,,
2018,,,,,,
2021,,,,,,
2022,,,,,,
2016,,,,,,
2023,,,,,,
2023,,,,,,
2005,,,,,,
2012,,,,,,
2018,,,,,,
2015,,,,,,
2021,,,,,,
2010,,,,,,
2015,,,,,,
2012,,,,,,
2024,,,,,,
2023,,,,,,
2012,,,,,,
2012,,,,,,
2015,,,,,,
2008,,,,,,
2001,,,,,,
2015,,,,,,
2007,,,,,,
2019,,,,,,
2015,,,,,,
2023,,,,,,
2003,,,,,,
2016,,,,,,
2019,,,,,,
2018,,,,,,
2018,,,,,,
2011,,,,,,
2022,,,,,,
2024,,,,,,
2016,,,,,,
2021,,,,,,
2020,,,,,,
2010,,,,,,
2013,,,,,,
2012,,,,,,
2021,,,,,,
2012,,,,,,
2018,,,,,,
2023,,,,,,
2021,,,,,,
2016,,,,,,
2023,,,,,,
2015,,,,,,
2018,,,,,,
2015,,,,,,
2005,,,,,,
2021,,,,,,
2022,,,,,,
2023,,,,,,
2004,,,,,,
2018,,,,,,
2013,,,,,,
2007,,,,,,
2021,,,,,,
2021,,,,,,
2017,,,,,,
2018,,,,,,
2016,,,,,,
2020,,,,,,
2014,,,,,,
2021,,,,,,
2017,,,,,,
2010,,,,,,
2022,,,,,,
2020,,,,,,
2020,,,,,,
2020,,,,,,
2017,,,,,,
2010,,,,,,
2014,,,,,,
2021,,,,,,
2023,,,,,,
2015,,,,,,
2019,,,,,,
2006,,,,,,
2017,,,,,,
2015,,,,,,
2019,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
